"site_no","dateTime","Flow_Inst","Flow_Inst_cd","Wtemp_Inst","pH_Inst","DO_Inst"
"02336120",2011-05-30 17:30:00,14,"E",24.5,7,7.5
"02336410",2011-05-07 07:30:00,23,"E",16.7,7,8.4
"02336360",2011-05-13 17:30:00,11,"A",23.1,7.3,9
"02336300",2011-05-21 06:45:00,25,"E",20.2,7.3,7.2
"02203700",2011-05-22 09:45:00,3.9,"E",19.9,6.8,4.5
"02336728",2011-05-13 16:15:00,12,"E",22.9,7.2,8.5
"02336300",2011-05-23 23:15:00,21,"A",25.6,7.5,8.1
"02336728",2011-05-04 05:00:00,377,"E",18.2,6.6,7.8
"02337170",2011-05-05 01:45:00,6930,"A",14.6,6.7,9.8
"02203655",2011-05-05 19:00:00,13,"E",16.2,7.1,8.4
"02203655",2011-05-22 14:00:00,8.2,"A",19.9,7,7.1
"02336240",2011-05-30 12:45:00,12,"A",22.2,7,7.2
"02203700",2011-05-04 05:15:00,56,"E",17.2,6.7,8.6
"02336313",2011-05-15 13:00:00,1,"E",18,7.2,NA
"02203700",2011-05-21 19:00:00,3.9,"A",23.6,7,9.2
"02336410",2011-05-29 08:00:00,19,"A",22.7,7,6.5
"02336526",2011-05-25 20:00:00,2.8,"A",25,8.6,11.8
"02336120",2011-05-18 03:45:00,14,"X",15.4,7.3,8.7
"02337170",2011-05-28 12:15:00,2690,"X",20.2,6.8,7.4
"02336240",2011-05-08 18:45:00,12,"A",20.3,7.3,9
"02203655",2011-05-23 23:15:00,8.2,"A",22.9,7,6.8
"02336526",2011-05-03 18:15:00,4,"A e",22.7,7.2,NA
"02336240",2011-05-10 18:45:00,12,"A",24.2,7.3,8.9
"02336300",2011-05-16 04:45:00,26,"A e",17.7,7.5,7.6
"02336360",2011-05-06 07:00:00,15,"A",16.1,7,8.2
"02336526",2011-05-02 03:45:00,4.2,"A",21.6,7.1,6.9
"02336240",2011-05-19 12:15:00,9.9,"A e",14.2,7.3,8.8
"02336240",2011-05-24 13:30:00,8.5,"A",21.2,NA,7.4
"02336410",2011-05-16 17:15:00,17,"E",17.1,7.3,9.3
"02203700",2011-05-15 06:45:00,4.4,"A",19.6,6.9,4.5
"02336360",2011-05-21 13:00:00,9.8,"E",18.8,7.1,7.7
"02336360",2011-05-28 18:00:00,11,"A",23.9,7,7.5
"02336410",2011-05-11 00:30:00,19,"X",23.4,7.2,7.5
"02336410",2011-05-06 01:00:00,28,"E",17.5,7,8.4
"02203655",2011-05-29 20:15:00,12,"A",22.8,6.7,7.2
"02336300",2011-05-02 19:30:00,31,"E",22.6,7.3,8.2
"02336313",2011-05-12 22:30:00,1,"A",25.4,7.2,7
"02336728",2011-05-24 19:45:00,8.9,"A",25.2,7.3,9
"02336410",2011-05-12 07:00:00,17,"X",22.7,7.1,6.9
"02336360",2011-05-10 03:30:00,12,"A e",21.6,7,7.4
"02336526",2011-05-05 13:30:00,5.7,"A",13.3,7,9
"02336120",2011-05-26 02:45:00,11,"A",24.6,7.1,NA
"02336240",2011-05-07 10:15:00,13,"A",15.2,7.2,8.4
"02336728",2011-05-29 23:45:00,18,"A e",24.2,7,7.4
"02336728",2011-05-13 19:45:00,12,"A",24.4,7.3,8.4
"02203700",2011-05-19 20:45:00,4,"A",21.4,7,9.8
"02336410",2011-05-21 08:15:00,14,"A",19.6,7.2,7.6
"02203655",2011-05-05 23:00:00,13,"X",17.6,7.2,8.1
"02336240",2011-05-22 11:00:00,8.9,"X",19.6,7.2,7.3
"02336410",2011-05-11 14:00:00,18,"A",21.5,7.1,7.6
"02336240",2011-05-10 15:00:00,11,"X",20.6,7.2,NA
"02336360",2011-05-06 00:00:00,15,"E",17.8,7.1,8.3
"02336410",2011-05-12 04:00:00,17,"A",23.4,7.1,6.9
"02336240",2011-05-20 15:30:00,NA,"X",17.9,7.3,9.2
"02337170",2011-05-24 18:15:00,2900,"A",20.2,6.9,8.7
"02336313",2011-05-14 02:45:00,0.93,"X",22.7,7.2,6.7
"02203700",2011-05-01 12:30:00,6.1,"A",16.8,7,7.3
"02336120",2011-05-27 16:45:00,191,"A",20.9,6.3,7.2
"02336526",2011-05-06 07:45:00,5.2,"X",15.3,7,8.3
"02336360",2011-05-29 23:45:00,7.5,"A e",25.2,7,7.1
"02203700",2011-05-02 10:15:00,5.8,"A",18.5,7,6.4
"02336526",2011-05-19 08:15:00,3.6,"A",15.4,7.7,8.2
"02337170",2011-05-28 16:30:00,2360,"A",20.6,6.8,7.6
"02336120",2011-05-02 07:45:00,16,"A",19.6,7.1,7.6
"02336313",2011-05-02 06:30:00,1,"A",19.8,7,6.2
"02336120",2011-05-23 02:15:00,11,"A",23.9,7.2,7
"02336240",2011-05-30 14:45:00,11,"A",22.9,7,7.4
"02336360",2011-05-28 17:30:00,11,"A",23.5,7,7.4
"02337170",2011-05-26 03:45:00,1730,"A e",20.5,7,NA
"02336526",2011-05-17 11:30:00,4,"X",15.2,7.2,7.7
"02203700",2011-05-03 11:00:00,6.1,"A",18.8,7.1,6.3
"02336360",2011-05-26 01:30:00,8.4,"A",24.7,NA,6.8
"02336120",2011-05-03 03:15:00,16,"A e",21.2,7.1,7.5
"02336313",2011-05-02 21:00:00,1,"A",23.2,7.1,7.5
"02336120",2011-05-01 13:45:00,18,"A",18.1,NA,NA
"02336120",2011-05-10 03:00:00,16,"A",21.5,7.2,7.7
"02336360",2011-05-13 04:00:00,11,"X",23.1,7,6.8
"02336526",2011-05-19 06:15:00,3.6,"E",NA,7.9,8.5
"02336526",2011-05-17 04:00:00,5.9,"A",17.3,7.7,8.3
"02336313",2011-05-10 23:00:00,0.98,"E",24.8,7.2,7.2
"02336360",2011-05-27 23:45:00,20,"E",23.7,6.8,6.9
"02336313",2011-05-20 14:00:00,0.98,"E",17.4,NA,8.2
"02336410",2011-05-05 15:15:00,32,"A e",15,7,8.9
"02336240",2011-05-03 00:30:00,13,"A",21.3,7.2,7.5
"02337170",2011-05-13 15:45:00,3080,"A",16.6,6.9,9.3
"02336313",2011-05-19 13:45:00,1,"A",14.9,7.2,8.4
"02336728",2011-05-16 20:00:00,12,"A",18.1,7.2,9.4
"02336526",2011-05-19 05:30:00,3.6,"X",16.3,8.1,8.7
"02336410",2011-05-28 05:45:00,40,"A",22.4,6.9,6.9
"02336360",2011-05-03 11:30:00,13,"A",19.9,7.1,7.4
"02203655",2011-05-31 02:15:00,9.2,"A",24.9,7,6.1
"02336300",2011-05-10 06:45:00,NA,"A e",21.2,7.3,7
"02336313",2011-05-05 17:30:00,1.3,"A",17.2,7.1,9.4
"02336728",2011-05-26 00:45:00,8.6,"A e",24.9,7.2,7.3
"02336360",2011-05-27 03:30:00,244,"A e",22.4,6.6,6.7
"02336313",2011-05-31 07:45:00,0.73,"A",23.3,7.4,5.4
"02336300",2011-05-14 03:45:00,27,"E",22.5,7.4,6.8
"02337170",2011-05-14 05:00:00,4700,"A",14.5,6.8,10
"02336526",2011-05-15 08:45:00,3.6,"A e",20,7.2,6.6
"02337170",2011-05-10 19:45:00,3850,"A",NA,6.8,8.2
"02336240",2011-05-31 12:30:00,11,"E",22.4,7.1,7.1
"02336410",2011-05-04 05:15:00,333,"A",18.6,6.6,7.5
"02336300",2011-05-24 07:45:00,21,"A",22.7,7.3,6.4
"02336410",2011-05-08 06:15:00,22,"A",18,7,7.9
"02336120",2011-05-19 18:45:00,12,"A",17.9,7.3,9.3
"02337170",2011-05-24 02:00:00,2090,"A e",21.2,6.9,8.3
"02203700",2011-05-04 08:45:00,15,"E",16,6.7,8.1
"02336728",2011-05-21 06:30:00,9.7,"A",NA,7.1,8
"02336313",2011-05-08 05:00:00,1,"A",17.8,NA,7.5
"02203655",2011-05-04 18:45:00,26,"A",17.9,NA,7.9
"02336120",2011-05-01 13:30:00,18,"E",NA,7.1,8
"02336526",2011-05-01 04:45:00,4.2,"A",20.2,6.9,6.6
"02336120",2011-05-31 11:30:00,12,"A",23.3,6.9,6.6
"02336240",2011-05-12 09:15:00,11,"A",21.1,7.1,7
"02336240",2011-05-14 07:00:00,10,"A e",21.1,7.2,7.1
"02336240",2011-05-31 06:15:00,11,"A",23.4,7,6.8
