"site_no","dateTime","Flow_Inst","Flow_Inst_cd","Wtemp_Inst","pH_Inst","DO_Inst"
"02336240",2011-05-15 03:45:00,9.9,"A",20.4,7.2,7.1
"02336120",2011-05-25 15:00:00,11,"A e",22,7.1,7.4
"02203700",2011-05-02 01:00:00,6.1,"A",21.9,7.1,7.6
"02336410",2011-05-16 17:45:00,16,"A e",17.2,7.3,9.1
"02336120",2011-05-15 07:45:00,13,"A",19.7,7.2,7.4
"02336526",2011-05-29 10:15:00,6.7,"X",21,7.1,7.3
"02336120",2011-05-12 06:00:00,14,"A",22.5,7.1,7.1
"02336313",2011-05-12 12:15:00,1,"E",20.5,7.2,6.9
"02336410",2011-05-11 20:30:00,17,"X",25.1,7.3,8.4
"02203700",2011-05-27 00:45:00,113,"A",NA,6.6,7
"02203655",2011-05-26 19:00:00,7.5,"A",23.4,7,6.3
"02336526",2011-05-15 03:15:00,3.6,"A e",22.1,7.9,7.3
"02336360",2011-05-14 20:30:00,11,"X",23.3,7.4,9
"02203655",2011-05-31 19:00:00,9.6,"A",24,7.2,7
"02203655",2011-05-06 16:00:00,12,"X",15.5,7.2,8.1
"02203655",2011-05-30 12:30:00,10,"X",22.2,6.8,6.4
"02336728",2011-05-28 20:30:00,30,"E",23.5,7,7.7
"02336120",2011-05-05 18:45:00,23,"A",17,7,9
"02336300",2011-05-07 16:30:00,36,"A e",NA,7.3,NA
"02336313",2011-05-05 15:30:00,1.4,"E",15.4,7,9.4
"02336526",2011-05-01 20:00:00,4.2,"X",22.4,7,9.9
"02336526",2011-05-18 10:30:00,3.6,"E",13.9,7.2,8.1
"02337170",2011-05-14 09:00:00,3920,"A",15,6.9,9.8
"02336120",2011-05-05 14:45:00,24,"A",14.8,7,8.9
"02336410",2011-05-23 14:30:00,13,"X",21.6,7.2,7.7
"02336728",2011-05-15 07:30:00,11,"E",19.3,7.2,7.8
"02336240",2011-05-08 17:00:00,12,"A",19.2,7.3,9
"02337170",2011-05-04 12:45:00,6370,"E",15.5,6.7,8.9
"02203700",2011-05-15 14:00:00,4.4,"A",18.2,7,7.1
"02336360",2011-05-31 08:30:00,6,"A",23.9,6.9,6.4
"02336410",2011-06-01 03:00:00,12,"E",25.5,7.1,6.1
"02336313",2011-05-20 06:00:00,0.93,"E",17.7,7.1,6.8
"02336360",2011-05-17 23:15:00,10,"X",16.1,7.4,9.9
"02203700",2011-05-07 22:15:00,5.3,"X",21.9,7.1,6.2
"02337170",2011-05-04 17:15:00,6130,"A",16.2,6.7,8.5
"02336313",2011-05-30 23:45:00,0.69,"E",26.2,7.3,5.9
"02336410",2011-05-25 16:30:00,11,"E",23,NA,8.1
"02336526",2011-05-31 11:30:00,4.8,"X",22.6,7.1,7
"02336240",2011-05-19 04:00:00,9.9,"A",15.7,7.3,8.3
"02337170",2011-05-02 19:15:00,4390,"A",16.8,6.8,9.4
"02336313",2011-05-19 05:45:00,1,"A e",15.6,7.2,7.4
"02336240",2011-05-04 02:15:00,464,"X",18.4,7,8.3
"02336526",2011-05-06 04:30:00,5.2,"X",16.8,7,8.2
"02336313",2011-05-09 20:00:00,1,"A",23.7,7.3,8.5
"02336300",2011-05-14 21:15:00,27,"A",24,7.6,8.5
"02336526",2011-05-31 05:15:00,6.7,"X",24.9,7.2,6.9
"02336300",2011-05-14 15:30:00,25,"E",21.2,7.5,7.8
"02203700",2011-05-11 07:15:00,4.6,"X",21.4,7.4,3.2
"02336360",2011-05-21 14:15:00,9.8,"A",19,7.1,8.1
"02203700",2011-05-14 16:45:00,4.6,"E",21.7,7.2,10
"02336410",2011-05-22 00:30:00,14,"A",22.5,7.3,7.9
"02336526",2011-05-05 00:15:00,7.7,"X",19,6.9,8.3
"02336728",2011-05-27 11:45:00,1110,"E",19.4,6.2,7.5
"02336313",2011-05-07 23:00:00,1,"E",20.4,7.2,8
"02336526",2011-05-14 17:30:00,3.8,"E",21.8,7.5,9.7
"02337170",2011-05-08 22:15:00,1410,"E",18.6,6.9,8.7
"02203655",2011-05-04 03:15:00,402,"E",18.6,7,8.4
"02336240",2011-05-21 21:45:00,9.2,"A",23.3,7.3,NA
"02337170",2011-05-07 03:00:00,6050,"E",13.2,6.8,10.4
"02336360",2011-05-19 04:45:00,10,"X",15.9,7.1,8.6
"02336526",2011-05-21 06:45:00,3.6,"A",20.7,7.8,6.9
"02336120",2011-05-10 07:15:00,15,"X",20.5,7.1,NA
"02336313",2011-05-14 06:15:00,0.98,"A e",21.5,7.2,6.4
"02336313",2011-05-19 18:45:00,1,"A e",19.8,7.3,9.3
"02337170",2011-05-22 01:30:00,3440,"X",17.6,6.8,9.2
"02336240",2011-05-11 12:15:00,11,"E",20.5,7.2,7.3
"02336240",2011-05-30 03:30:00,12,"E",23.4,7,6.8
"02336728",2011-05-03 05:15:00,15,"A",20,7,7.7
"02336526",2011-05-06 08:00:00,5.2,"X",15.2,7,8.4
"02336360",2011-05-08 10:15:00,13,"X",16.9,7.1,8.2
"02337170",2011-05-10 23:15:00,4320,"X",21,6.8,8.3
"02337170",2011-05-31 01:30:00,1270,"E",25.5,6.8,7.3
"02336410",2011-05-21 16:45:00,14,"E",20.7,7.3,9
"02336300",2011-05-01 15:45:00,33,"A",19.4,7.3,7.9
"02336300",2011-05-14 05:45:00,27,"X",22.1,7.4,6.7
"02336526",2011-05-11 17:45:00,4,"A e",23.4,7.5,10.2
"02336728",2011-05-30 02:15:00,18,"X",23.2,7,7.4
"02336240",2011-05-17 10:45:00,11,"A",15,7.3,8.4
"02336410",2011-05-16 14:45:00,16,"A",16.9,7.2,8.9
"02203655",2011-05-06 20:15:00,12,"A",17.1,7.2,8.1
"02336410",2011-05-15 01:15:00,16,"E",21.6,NA,7.4
"02336360",2011-05-03 04:15:00,13,"A",21.1,7.1,7.3
"02336240",2011-05-14 07:45:00,NA,"A",20.9,7.2,7.1
"02336240",2011-05-24 07:15:00,8.2,"E",21.8,7.1,6.6
"02336360",2011-05-24 21:15:00,9.1,"A",25.8,7.5,8.7
"02336313",2011-05-07 17:45:00,1.2,"X",19.6,7.3,9.3
"02336300",2011-05-24 22:15:00,21,"A",26.6,7.5,8.4
"02336240",2011-05-20 00:15:00,9.9,"X",18.9,7.3,8.5
"02336313",2011-05-14 17:15:00,1.1,"A",21.8,7.3,8.7
"02336240",2011-05-23 17:15:00,8.5,"A",23.5,7.3,9.4
"02336120",2011-05-27 11:15:00,1060,"A",20.9,6.3,7
"02336313",2011-05-10 10:00:00,1,"A",19.6,7.2,6.7
"02336313",2011-05-14 12:00:00,1,"A e",20.2,7.2,6.8
"02336120",2011-05-18 22:45:00,14,"X",17.8,7.3,9.3
"02336410",2011-05-08 21:00:00,21,"X",20.2,7.2,8.7
"02336410",2011-05-13 08:15:00,17,"A",22.2,7.1,7.1
"02336313",2011-05-02 04:45:00,0.98,"A",20.4,7,5.5
"02336313",2011-05-08 21:00:00,1,"A",21.8,NA,8.6
"02336313",2011-06-01 03:45:00,0.65,"A",25.3,7.2,4.6
"02336410",2011-05-17 07:00:00,16,"A",16.4,7.2,8.5
"02336526",2011-05-22 19:15:00,3.5,"A",24.3,8.7,11.9
"02336300",2011-05-18 02:30:00,27,"A",15.7,7.6,8.4
"02336120",2011-05-28 01:15:00,58,"A",22.5,6.6,7
"02203700",2011-05-04 23:15:00,24,"X",18.8,6.7,7
"02336360",2011-05-13 03:15:00,11,"A e",NA,7,6.9
"02336240",2011-05-13 03:15:00,10,"A",22.8,7.1,6.8
"02337170",2011-05-29 07:45:00,2000,"A e",21.5,6.8,7.4
"02337170",2011-05-08 12:00:00,1580,"A",15.4,6.9,9.2
"02203655",2011-05-24 08:00:00,7.5,"A",22.1,6.9,5.8
"02336526",2011-05-27 08:45:00,2650,"A",19.4,6.4,8.5
"02336410",2011-05-11 19:15:00,17,"A e",24.8,7.3,8.4
"02203655",2011-05-20 04:45:00,8.5,"A",18.4,7,7.7
"02336300",2011-05-16 23:30:00,29,"A e",18.2,7.6,8.6
"02336526",2011-05-30 16:45:00,5,"A e",24.2,7.4,8.6
"02336240",2011-05-05 08:15:00,18,"A",15.1,7.1,8.4
"02336240",2011-05-06 03:30:00,14,"X",15.9,7.2,NA
"02336526",2011-05-03 16:00:00,4.2,"A e",20.7,7.1,8.6
"02203655",2011-05-27 04:45:00,111,"E",21.2,6.5,6.9
"02203700",2011-05-01 19:15:00,6.1,"A",23.5,7.2,11.2
"02336313",2011-05-12 08:00:00,1,"A e",21.5,7.2,6.2
"02336728",2011-05-30 18:15:00,15,"E",25.4,7.1,7.8
"02203655",2011-05-30 09:15:00,10,"A",23.1,6.8,6.3
"02336728",2011-05-23 21:30:00,9.3,"A e",25.3,7.3,8.5
"02203655",2011-05-17 07:00:00,10,"A e",16.5,7.1,8.2
"02336410",2011-05-28 22:30:00,23,"E",24.3,7,7
"02336526",2011-05-14 03:15:00,3.5,"A e",23,8,7.2
"02337170",2011-05-18 19:00:00,3830,"A",13.6,6.9,9.9
"02203700",2011-05-08 05:00:00,5.1,"A",18.2,7.1,4.3
"02203700",2011-05-10 12:45:00,4.9,"E",19.1,7.3,5.2
"02336300",2011-05-26 03:45:00,18,"X",24.7,7.3,6.2
"02336526",2011-05-06 10:00:00,5.2,"E",14.4,7,8.4
"02336728",2011-05-05 01:30:00,31,"A e",17.4,6.9,8.3
"02336313",2011-05-13 21:45:00,1,"A e",24.3,7.3,8.2
"02336240",2011-05-22 01:00:00,8.9,"A e",22.1,7.2,7.3
"02337170",2011-05-10 06:00:00,1350,"A",21.2,6.9,7.8
"02336120",2011-05-19 11:15:00,12,"A",14.9,7.2,8.6
"02336526",2011-05-14 19:45:00,3.6,"A e",23.3,7.8,11.1
"02203655",2011-05-28 03:30:00,35,"E",21.7,6.4,7.1
"02337170",2011-05-07 15:45:00,4520,"A",13.8,6.8,9.8
"02336410",2011-05-29 12:30:00,19,"X",22,7,7
"02337170",2011-05-28 00:45:00,5540,"A",20.5,6.5,7
"02336240",2011-05-24 23:00:00,7.9,"X",24.7,7.3,7.7
"02336360",2011-05-03 23:00:00,25,"A",20.6,7,7.8
"02336360",2011-05-14 09:00:00,11,"X",21.2,7,7
"02336313",2011-05-11 21:30:00,NA,"X",25.4,7.2,7.3
"02336120",2011-05-15 08:15:00,13,"A",19.6,7.2,7.4
"02336300",2011-05-07 01:30:00,36,"A",17.8,7.3,8
"02203655",2011-05-22 08:15:00,7.5,"A",20.9,7,6.5
"02203655",2011-05-02 11:15:00,11,"A e",18.9,7.1,6.7
"02336526",2011-05-05 13:00:00,5.7,"A e",13.2,6.9,8.8
"02337170",2011-05-30 17:30:00,1310,"E",23.4,6.9,7.3
"02336300",2011-05-14 10:15:00,27,"X",21.3,7.4,6.7
"02336240",2011-05-02 12:00:00,13,"A e",18.6,7.2,7.7
"02203700",2011-05-26 14:00:00,3.5,"A",21.8,6.9,6
"02336410",2011-05-19 10:30:00,16,"A",14.9,7.2,8.9
"02336240",2011-05-20 00:45:00,9.9,"X",18.7,7.3,8.3
"02203700",2011-05-07 14:30:00,5.3,"A",16,7.2,8
"02336300",2011-05-23 21:15:00,NA,"A",26,7.6,8.7
"02336360",2011-05-11 05:15:00,12,"E",22.6,7,6.9
"02336728",2011-05-17 20:45:00,12,"E",16.8,7.2,9.5
"02337170",2011-05-12 15:15:00,5580,"E",15.5,6.8,9.4
"02203655",2011-05-25 22:15:00,7.5,"A",23.4,7,6.3
"02336120",2011-05-24 07:00:00,10,"E",22.5,7.1,6.8
"02203700",2011-05-08 02:00:00,5.1,"A e",19.8,7.1,4
"02336728",2011-05-18 03:00:00,11,"A e",15.3,NA,8.9
"02336360",2011-05-09 12:45:00,12,"X",18.3,7,8.1
"02336410",2011-05-02 19:00:00,21,"A",22,6.8,8.5
"02336120",2011-05-28 16:00:00,27,"A e",22,6.8,7.3
"02336526",2011-05-30 23:30:00,4.6,"A",NA,7.7,8.6
"02203700",2011-05-13 07:15:00,4.4,"A",21.3,6.8,3.9
"02336240",2011-05-05 07:15:00,18,"A",15.4,7,8.3
"02203700",2011-05-16 00:00:00,4.2,"A",18.4,7,NA
"02203655",2011-05-18 20:45:00,8.8,"A e",16,7.1,9.3
"02203700",2011-05-23 21:45:00,3.7,"X",25.6,7.1,8.1
"02336360",2011-05-12 15:30:00,11,"X",21.9,7.1,8.1
"02337170",2011-05-22 01:45:00,3430,"A",17.5,6.8,9.2
"02336300",2011-05-19 13:30:00,25,"X",15.3,7.4,8.6
"02203655",2011-05-01 19:15:00,11,"A",19.9,7.2,7.1
"02336728",2011-05-15 01:45:00,12,"X",21.2,7.2,NA
"02336240",2011-05-10 14:45:00,11,"E",20.4,7.2,8.2
"02337170",2011-05-03 11:30:00,NA,"E",15.5,6.9,9.8
"02203655",2011-05-21 01:00:00,8.2,"A",20.5,7,7.3
"02336300",2011-05-25 13:30:00,19,"A e",22.1,7.4,7
"02337170",2011-05-04 09:00:00,6630,"E",15.2,6.8,9.6
"02336313",2011-05-12 23:45:00,0.98,"A",25,7.2,6.7
"02337170",2011-05-26 02:00:00,1710,"A e",20.9,NA,8.8
"02336728",2011-05-02 17:45:00,16,"A",21.8,7.1,8.7
"02336728",2011-05-16 00:00:00,11,"E",18.5,7.2,8.4
"02336410",2011-05-14 18:15:00,16,"A",22.1,7.4,8.6
"02337170",2011-05-08 04:00:00,NA,"E",15.4,6.9,9.4
"02336313",2011-05-30 09:30:00,0.73,"A",22.6,7.5,5.5
"02203700",2011-05-08 08:45:00,5.1,"E",16.8,7.1,4.9
"02336410",2011-05-07 20:00:00,22,"A",19.3,7.2,8.9
"02336300",2011-05-10 20:30:00,31,"E",25.4,7.3,8.9
"02203655",2011-05-24 09:45:00,7.5,"A",21.6,6.9,5.8
"02203700",2011-05-12 18:30:00,4.6,"A",25.6,7.4,11.4
"02336410",2011-05-09 19:15:00,20,"A e",22.2,7.3,8.7
"02336300",2011-05-20 00:15:00,26,"X",20.1,7.5,8.8
"02203700",2011-05-05 08:45:00,21,"X",16.2,6.6,7.2
"02336360",2011-05-19 11:00:00,10,"A",14.8,7,8.7
"02336410",2011-05-14 13:30:00,16,"E",21,7.2,7.5
"02336410",2011-05-12 14:45:00,NA,"X",21.9,7.1,7.8
"02336240",2011-05-20 12:15:00,9.5,"A e",16.3,7.2,8.2
"02336313",2011-05-24 19:00:00,0.93,"X",25.1,7.2,8.8
"02336360",2011-05-25 18:30:00,8.4,"A e",24.9,7.3,8.9
"02337170",2011-05-12 22:30:00,6030,"E",14.6,6.8,10
"02336120",2011-05-27 14:45:00,338,"A",20.4,6.2,7.1
"02336313",2011-05-24 04:15:00,0.87,"X",22.9,7.1,6
"02203655",2011-05-28 13:15:00,21,"A e",20,6.4,7.1
"02203655",2011-05-07 12:00:00,12,"A",15.2,7.2,8
"02336313",2011-05-13 09:45:00,1,"X",20.7,7.2,6.3
"02336240",2011-05-08 10:30:00,12,"A",16.5,7.2,8.1
"02203655",2011-05-03 00:15:00,11,"X",21.5,7.1,6.6
"02336120",2011-05-20 00:30:00,12,"E",19.5,7.2,8.7
"02336120",2011-05-13 17:00:00,14,"A",22.5,7.3,8.2
"02336410",2011-05-08 16:15:00,21,"E",18.1,7.1,8.6
"02336526",2011-05-01 13:15:00,4.4,"A",17.3,6.9,7.7
"02336360",2011-05-16 01:15:00,11,"A e",18.3,7.2,8.4
"02337170",2011-05-29 00:45:00,2570,"A",21.6,6.8,7.4
"02336300",2011-05-13 21:30:00,27,"A",24.7,7.6,8.5
"02336410",2011-05-17 19:30:00,16,"X",16.4,7.4,10.1
"02336728",2011-05-25 04:45:00,8.6,"A",22.4,7.1,7.2
"02336410",2011-05-28 11:00:00,32,"A",21.3,6.9,7
"02336728",2011-05-27 14:15:00,290,"X",19.8,6.3,7.6
"02336240",2011-05-28 21:30:00,19,"A",23.8,7,7.2
"02336240",2011-05-07 13:15:00,13,"A",15,7.2,8.6
"02336526",2011-05-29 18:00:00,NA,"A",23.9,7.3,NA
"02336300",2011-05-08 14:00:00,33,"A",17.2,7.3,7
"02203655",2011-05-25 07:00:00,7.2,"A",22.3,6.9,5.6
"02336313",2011-05-09 11:15:00,1.1,"A",17.9,7.2,7.2
"02203700",2011-05-17 09:30:00,4.4,"A",15.2,6.9,5.4
"02336240",2011-05-08 04:45:00,13,"A e",17.4,7.2,8
"02336410",2011-05-10 08:45:00,19,"A e",20.8,NA,7.3
"02337170",2011-05-16 23:30:00,1910,"A",16.8,7,9
"02336300",2011-05-17 22:00:00,NA,"A e",16.5,7.7,9.2
"02336240",2011-05-13 16:30:00,10,"E",22.8,7.3,8.8
"02336313",2011-05-16 15:15:00,1.1,"A",16.5,7.3,8.4
"02336360",2011-05-12 01:45:00,11,"X",23.9,7.1,7.1
"02336360",2011-05-04 08:45:00,72,"X",17.6,6.7,8.2
"02336360",2011-05-03 22:15:00,17,"A",21.3,7.1,NA
"02336728",2011-05-17 16:00:00,12,"X",16.3,7.2,9.6
"02336240",2011-05-23 05:00:00,8.2,"A",22.2,7.1,6.7
"02203655",2011-05-04 10:45:00,63,"A e",16.1,6.9,8
"02336120",2011-05-21 19:00:00,12,"X",21.7,7.4,8.5
"02336728",2011-05-01 16:30:00,16,"X",20.1,7.1,8.6
"02336360",2011-05-20 14:30:00,10,"A",17.1,7.1,8.6
"02203655",2011-05-20 16:30:00,8.5,"A",18.2,7,8.6
"02336360",2011-05-18 19:30:00,10,"A",17.6,7.4,10.8
"02336410",2011-05-31 20:30:00,11,"A",27.2,7.2,7.7
"02203655",2011-05-08 02:45:00,11,"E",19.2,7.1,6.6
"02336526",2011-05-30 15:45:00,5,"A",23.4,7.3,8.2
"02336300",2011-05-19 03:45:00,27,"A",16.5,7.5,8.3
"02336300",2011-05-22 05:00:00,24,"A",NA,7.3,6.9
"02336728",2011-05-24 08:15:00,8.9,"A",21.1,7.1,7.4
"02336360",2011-05-16 02:15:00,11,"X",18.2,7.2,8.1
"02203700",2011-05-22 10:00:00,3.9,"A",19.8,6.8,4.5
"02336728",2011-05-13 05:30:00,12,"X",21.7,7.1,7.4
"02336313",2011-05-21 14:00:00,0.98,"E",19,7.2,8
"02336120",2011-05-31 07:15:00,12,"X",24,6.9,6.6
"02203655",2011-05-30 08:15:00,10,"A e",NA,6.7,6.3
"02336360",2011-05-11 08:45:00,12,"A",21.8,7,7
"02336360",2011-05-12 12:00:00,11,"A e",21.2,7,7.1
"02336120",2011-05-15 21:30:00,13,"A",18.9,7.3,8.6
"02336120",2011-05-10 16:15:00,15,"A",20.8,7.2,8.3
"02336526",2011-05-30 21:15:00,4.8,"A",27,7.7,9.3
"02336526",2011-05-10 12:00:00,4,"A",19.7,7,NA
"02336313",2011-05-16 22:00:00,2,"E",17.9,7.5,9.3
"02336313",2011-05-17 12:00:00,1.1,"E",14.6,7.1,7
"02336360",2011-05-03 02:30:00,13,"E",21.4,7.1,7.4
"02203655",2011-05-01 07:00:00,11,"X",19,7.1,6.7
"02336360",2011-05-20 04:45:00,10,"A",18.1,7.1,8
"02336120",2011-05-22 16:00:00,11,"A",21.2,7.2,7.9
"02336728",2011-05-13 13:15:00,12,"A",21.1,7.1,7.6
"02336728",2011-05-31 04:00:00,14,"A",23.8,7,7.3
"02336300",2011-05-15 02:15:00,27,"A",21.8,7.5,7.1
"02336120",2011-05-24 03:45:00,11,"A e",23.4,7.2,6.9
"02336313",2011-05-23 07:15:00,0.93,"A",21.6,7.1,5.8
"02336410",2011-05-11 22:15:00,17,"E",24.7,7.3,8
"02336410",2011-05-28 03:15:00,NA,"E",22.8,6.9,6.8
"02203655",2011-05-18 00:15:00,NA,"A",15.9,7.1,8.6
"02203700",2011-05-06 16:45:00,5.8,"A e",17.9,7.2,NA
"02336300",2011-05-12 13:30:00,27,"A e",21.8,7.4,7.2
"02336526",2011-05-30 18:30:00,5,"A e",25.7,7.5,9.3
"02203700",2011-05-03 10:30:00,6.1,"E",18.9,7.1,6.3
"02336526",2011-05-28 20:00:00,8.3,"A e",24.9,7.2,8.2
"02336120",2011-05-04 09:00:00,240,"X",17.2,6.4,NA
"02336120",2011-05-25 18:45:00,10,"A e",23.9,7.2,8.1
"02203700",2011-05-21 10:30:00,4.6,"A",18.1,6.8,5.3
"02336728",2011-05-19 16:00:00,11,"A",16.5,7.2,9.7
"02336120",2011-05-15 11:45:00,13,"A",18.9,7.2,7.6
"02336300",2011-05-01 17:45:00,32,"A e",21,7.3,8.1
"02203700",2011-05-06 14:00:00,5.8,"A e",14.9,7.1,7.8
"02336240",2011-05-13 01:00:00,11,"X",23.8,7.2,6.9
"02336410",2011-05-02 22:15:00,21,"A",22,6.8,8
"02336120",2011-05-09 11:00:00,NA,"X",18.5,7.1,7.9
"02336526",2011-05-09 19:30:00,4.4,"E",23.2,7.8,11
"02336526",2011-05-02 09:45:00,4,"A e",19.5,7,7
"02337170",2011-05-03 18:15:00,7180,"A",NA,6.8,10.3
"02336526",2011-05-11 19:00:00,4,"A",24.7,7.8,10.8
"02336120",2011-05-11 08:15:00,15,"X",21.6,7.2,7.2
"02336360",2011-05-02 15:30:00,14,"A",19.6,7.1,8.3
"02336526",2011-05-10 18:30:00,4.6,"A",23.5,7.6,10.6
"02336313",2011-05-31 12:30:00,0.77,"A e",22.1,7.4,6
"02336300",2011-05-20 11:15:00,26,"X",17.3,7.4,7.8
"02336240",2011-05-30 20:00:00,12,"X",26.2,7.1,7.7
"02336728",2011-05-03 19:30:00,16,"A",22.8,7.1,8.2
"02336300",2011-05-22 14:30:00,23,"A",21.4,7.4,7.8
"02337170",2011-05-13 04:15:00,4220,"A e",15.3,6.8,NA
"02203700",2011-05-23 02:00:00,3.7,"A e",24.2,6.8,4.2
"02336728",2011-05-31 15:00:00,13,"X",NA,7.1,7.8
"02203700",2011-05-21 11:00:00,4.6,"A",17.9,6.8,5.3
"02203655",2011-05-26 22:00:00,8.5,"E",23.1,7,5.8
"02336240",2011-05-30 02:45:00,12,"A",23.6,7,6.8
"02336313",2011-05-02 02:15:00,0.98,"A",21.4,7,6.1
"02203700",2011-05-10 23:45:00,4.6,"A",25.1,7.3,6.1
"02336360",2011-05-29 07:00:00,8.4,"X",22.8,NA,6.4
"02336410",2011-05-30 15:30:00,14,"A",23.7,7,7.1
"02336300",2011-05-21 04:15:00,24,"A e",20.8,7.4,7.3
"02336526",2011-05-23 10:30:00,3.6,"A e",21.5,7.5,6.2
"02336410",2011-05-24 19:45:00,12,"X",25.1,7.5,8.7
"02336120",2011-05-14 04:45:00,13,"E",22,7.2,7.2
"02336728",2011-05-31 01:45:00,14,"E",24.8,7,7.2
"02336526",2011-05-24 17:00:00,NA,"E",22.8,7.9,10
"02336240",2011-05-31 05:15:00,11,"A",23.7,7,6.8
"02336410",2011-05-27 19:15:00,90,"A",22.1,6.8,7.2
"02336410",2011-05-23 00:00:00,13,"E",24.1,7.3,7.6
"02203700",2011-05-05 19:30:00,18,"A",21.1,6.6,7.4
"02203655",2011-05-23 15:00:00,7.8,"E",21,6.9,6.9
"02336300",2011-05-01 05:30:00,33,"A e",19.8,7.2,7.1
"02203700",2011-05-09 17:30:00,5.3,"X",22.7,7.3,9.7
"02336300",2011-05-23 16:00:00,21,"X",23.1,7.4,NA
"02203700",2011-05-15 05:45:00,4.2,"A e",20,NA,4.4
"02336728",2011-05-04 15:15:00,62,"A",16.8,6.8,8.6
"02336120",2011-05-28 15:00:00,28,"A e",21.6,6.8,7.3
"02336526",2011-05-01 12:00:00,4.4,"A",17.3,6.9,7.4
"02336360",2011-05-27 18:00:00,34,"A e",22.4,6.7,7.3
"02203655",2011-05-06 11:00:00,13,"A",14.8,7.2,8.2
"02336728",2011-05-22 14:00:00,9.3,"X",20.1,7.1,8.1
"02336410",2011-05-10 06:15:00,19,"A e",NA,7,7.3
"02336410",2011-05-07 16:15:00,NA,"A",16.8,7,9
"02336360",2011-05-31 06:15:00,6.3,"A",24.4,6.9,6.5
"02336410",2011-05-16 20:30:00,16,"E",18,7.3,9.7
"02203655",2011-05-20 11:15:00,8.5,"X",17.1,7,7.8
"02203655",2011-05-29 12:15:00,13,"A",20.8,6.7,6.6
"02203655",2011-05-26 01:15:00,7.2,"E",23.5,6.9,5.6
"02336313",2011-05-01 11:00:00,1.1,"E",17.2,7.1,6.8
"02336313",2011-05-11 06:30:00,0.98,"A e",21.7,7.2,6.1
"02336360",2011-05-14 22:00:00,11,"A e",23,7.4,8.6
"02336240",2011-05-01 09:45:00,13,"A",17.7,7.2,7.7
"02336410",2011-05-21 16:30:00,14,"X",20.5,7.3,8.8
"02203700",2011-05-02 09:15:00,NA,"X",18.9,7,NA
"02336526",2011-05-25 19:15:00,3,"A",24.7,8.5,11.6
"02336120",2011-05-01 09:45:00,17,"A e",18.3,7,7.8
"02336240",2011-05-04 18:15:00,30,"A",18.1,7,8.6
"02336410",2011-05-20 05:00:00,15,"A",18,7.2,8.3
"02337170",2011-05-26 03:30:00,1730,"A",20.6,7,8.7
"02336410",2011-05-13 04:30:00,17,"A",23.1,7.1,7
"02336120",2011-05-10 19:00:00,16,"A",22.8,7.3,8.7
"02336360",2011-05-26 12:45:00,8.1,"X",22.4,7.1,6.7
"02336120",2011-05-05 13:30:00,25,"A",14.6,6.9,8.8
"02336360",2011-05-11 04:15:00,12,"A",22.8,7,6.9
"02337170",2011-05-21 14:30:00,2450,"E",15.6,7,9.7
"02203700",2011-05-16 13:00:00,4.4,"E",16.3,6.9,6.2
"02337170",2011-05-08 07:15:00,1890,"X",15.4,6.9,9.3
"02336410",2011-05-17 20:30:00,16,"A",16.3,7.4,10
"02337170",2011-05-21 07:45:00,3380,"E",15,6.8,10
"02336300",2011-05-07 17:30:00,35,"E",18.3,7.3,8.6
"02336410",2011-05-26 11:00:00,11,"X",22.7,7.2,6.8
"02336313",2011-05-13 06:30:00,0.98,"A e",21.9,7.2,6
"02336410",2011-05-19 15:45:00,15,"A",15.6,7.3,9.8
"02336313",2011-05-31 23:30:00,0.65,"E",26.6,7.3,5.6
"02336313",2011-05-05 12:00:00,1.4,"A",13.1,7,NA
"02337170",2011-05-20 22:15:00,4440,"X",17,6.8,9.3
"02336313",2011-05-07 16:45:00,1.2,"A e",NA,7.2,9.2
"02203700",2011-05-23 14:00:00,3.7,"E",20.6,6.9,5.8
"02203700",2011-05-07 16:00:00,5.6,"A",NA,7.2,8.7
"02203700",2011-05-10 21:45:00,4.9,"A e",26.3,7.3,9.4
"02336360",2011-05-22 21:30:00,9.8,"A",25.3,7.5,8.8
"02336240",2011-05-22 21:45:00,8.5,"A",24.8,7.3,8.4
"02336728",2011-05-24 08:00:00,8.9,"A",21.2,7.1,7.4
"02336728",2011-05-30 07:30:00,16,"X",22.6,7,7.4
"02336300",2011-05-18 08:30:00,28,"X",14.5,7.5,8.1
"02203655",2011-05-29 02:45:00,14,"A e",23.6,6.5,6.3
"02337170",2011-05-21 04:45:00,4120,"X",15.3,6.8,9.8
"02336300",2011-05-11 22:45:00,31,"A",25.9,7.5,7.9
"02336300",2011-05-21 20:15:00,24,"E",24.7,7.5,9.2
"02336240",2011-05-21 04:15:00,9.2,"A e",NA,7.2,7.3
"02336300",2011-05-03 21:30:00,30,"A",22.3,7.3,7.7
"02203700",2011-05-18 12:45:00,NA,"A e",13.6,6.8,6
"02336120",2011-05-14 14:15:00,13,"E",20.7,7.2,7.6
"02336360",2011-05-14 15:00:00,11,"A e",21,NA,8.1
"02337170",2011-05-28 22:30:00,2630,"A",21.8,6.8,7.5
"02336360",2011-05-02 22:15:00,14,"A",22.2,7.2,8.4
"02336526",2011-05-06 12:45:00,5.2,"A",13.9,7,8.8
"02336410",2011-05-29 14:00:00,18,"X",22.1,7,7.1
"02203700",2011-05-12 16:30:00,4.9,"E",23.4,7.2,10.4
"02336728",2011-05-15 05:30:00,11,"E",19.8,7.2,7.7
