"site_no","dateTime","Flow","Flow_cd","Wtemp","pH","DO","Wtemp_F"
"02336120","2011-05-28 16:00:00",27,"A e",22,6.8,7.3,71.6
"02336526","2011-05-30 23:30:00",4.6,"A",NA,7.7,8.6,NA
"02203700","2011-05-13 07:15:00",4.4,"A",21.3,6.8,3.9,70.34
"02336240","2011-05-05 07:15:00",18,"A",15.4,7,8.3,59.72
"02203700","2011-05-16 00:00:00",4.2,"A",18.4,7,NA,65.12
"02203655","2011-05-18 20:45:00",8.8,"A e",16,7.1,9.3,60.8
"02337170","2011-05-22 01:45:00",3430,"A",17.5,6.8,9.2,63.5
"02203655","2011-05-01 19:15:00",11,"A",19.9,7.2,7.1,67.82
"02203655","2011-05-21 01:00:00",8.2,"A",20.5,7,7.3,68.9
"02336300","2011-05-25 13:30:00",19,"A e",22.1,7.4,7,71.78
"02336313","2011-05-12 23:45:00",0.98,"A",25,7.2,6.7,77
"02337170","2011-05-26 02:00:00",1710,"A e",20.9,NA,8.8,69.62
"02336728","2011-05-02 17:45:00",16,"A",21.8,7.1,8.7,71.24
"02336410","2011-05-14 18:15:00",16,"A",22.1,7.4,8.6,71.78
"02336313","2011-05-30 09:30:00",0.73,"A",22.6,7.5,5.5,72.68
"02336410","2011-05-07 20:00:00",22,"A",19.3,7.2,8.9,66.74
"02203655","2011-05-24 09:45:00",7.5,"A",21.6,6.9,5.8,70.88
"02203700","2011-05-12 18:30:00",4.6,"A",25.6,7.4,11.4,78.08
"02336410","2011-05-09 19:15:00",20,"A e",22.2,7.3,8.7,71.96
"02336360","2011-05-19 11:00:00",10,"A",14.8,7,8.7,58.64
"02336240","2011-05-20 12:15:00",9.5,"A e",16.3,7.2,8.2,61.34
"02336360","2011-05-25 18:30:00",8.4,"A e",24.9,7.3,8.9,76.82
"02336120","2011-05-27 14:45:00",338,"A",20.4,6.2,7.1,68.72
"02203655","2011-05-28 13:15:00",21,"A e",20,6.4,7.1,68
"02203655","2011-05-07 12:00:00",12,"A",15.2,7.2,8,59.36
"02336240","2011-05-08 10:30:00",12,"A",16.5,7.2,8.1,61.7
"02336120","2011-05-13 17:00:00",14,"A",22.5,7.3,8.2,72.5
"02336526","2011-05-01 13:15:00",4.4,"A",17.3,6.9,7.7,63.14
"02336360","2011-05-16 01:15:00",11,"A e",18.3,7.2,8.4,64.94
"02337170","2011-05-29 00:45:00",2570,"A",21.6,6.8,7.4,70.88
"02336300","2011-05-13 21:30:00",27,"A",24.7,7.6,8.5,76.46
"02336728","2011-05-25 04:45:00",8.6,"A",22.4,7.1,7.2,72.32
"02336410","2011-05-28 11:00:00",32,"A",21.3,6.9,7,70.34
"02336240","2011-05-28 21:30:00",19,"A",23.8,7,7.2,74.84
"02336240","2011-05-07 13:15:00",13,"A",15,7.2,8.6,59
"02336300","2011-05-08 14:00:00",33,"A",17.2,7.3,7,62.96
"02203655","2011-05-25 07:00:00",7.2,"A",22.3,6.9,5.6,72.14
"02336313","2011-05-09 11:15:00",1.1,"A",17.9,7.2,7.2,64.22
"02203700","2011-05-17 09:30:00",4.4,"A",15.2,6.9,5.4,59.36
"02336240","2011-05-08 04:45:00",13,"A e",17.4,7.2,8,63.32
"02336410","2011-05-10 08:45:00",19,"A e",20.8,NA,7.3,69.44
"02337170","2011-05-16 23:30:00",1910,"A",16.8,7,9,62.24
"02336313","2011-05-16 15:15:00",1.1,"A",16.5,7.3,8.4,61.7
"02336360","2011-05-03 22:15:00",17,"A",21.3,7.1,NA,70.34
"02336240","2011-05-23 05:00:00",8.2,"A",22.2,7.1,6.7,71.96
"02203655","2011-05-04 10:45:00",63,"A e",16.1,6.9,8,60.98
"02336360","2011-05-20 14:30:00",10,"A",17.1,7.1,8.6,62.78
"02203655","2011-05-20 16:30:00",8.5,"A",18.2,7,8.6,64.76
"02336360","2011-05-18 19:30:00",10,"A",17.6,7.4,10.8,63.68
"02336410","2011-05-31 20:30:00",11,"A",27.2,7.2,7.7,80.96
"02336526","2011-05-30 15:45:00",5,"A",23.4,7.3,8.2,74.12
"02336300","2011-05-19 03:45:00",27,"A",16.5,7.5,8.3,61.7
"02336300","2011-05-22 05:00:00",24,"A",NA,7.3,6.9,NA
"02336728","2011-05-24 08:15:00",8.9,"A",21.1,7.1,7.4,69.98
"02203700","2011-05-22 10:00:00",3.9,"A",19.8,6.8,4.5,67.64
"02203655","2011-05-30 08:15:00",10,"A e",NA,6.7,6.3,NA
"02336360","2011-05-11 08:45:00",12,"A",21.8,7,7,71.24
"02336360","2011-05-12 12:00:00",11,"A e",21.2,7,7.1,70.16
"02336120","2011-05-15 21:30:00",13,"A",18.9,7.3,8.6,66.02
"02336120","2011-05-10 16:15:00",15,"A",20.8,7.2,8.3,69.44
"02336526","2011-05-30 21:15:00",4.8,"A",27,7.7,9.3,80.6
"02336526","2011-05-10 12:00:00",4,"A",19.7,7,NA,67.46
"02336360","2011-05-20 04:45:00",10,"A",18.1,7.1,8,64.58
"02336120","2011-05-22 16:00:00",11,"A",21.2,7.2,7.9,70.16
"02336728","2011-05-13 13:15:00",12,"A",21.1,7.1,7.6,69.98
"02336728","2011-05-31 04:00:00",14,"A",23.8,7,7.3,74.84
"02336300","2011-05-15 02:15:00",27,"A",21.8,7.5,7.1,71.24
"02336120","2011-05-24 03:45:00",11,"A e",23.4,7.2,6.9,74.12
"02336313","2011-05-23 07:15:00",0.93,"A",21.6,7.1,5.8,70.88
"02203700","2011-05-06 16:45:00",5.8,"A e",17.9,7.2,NA,64.22
"02336300","2011-05-12 13:30:00",27,"A e",21.8,7.4,7.2,71.24
"02336526","2011-05-30 18:30:00",5,"A e",25.7,7.5,9.3,78.26
"02336526","2011-05-28 20:00:00",8.3,"A e",24.9,7.2,8.2,76.82
"02336120","2011-05-25 18:45:00",10,"A e",23.9,7.2,8.1,75.02
"02203700","2011-05-21 10:30:00",4.6,"A",18.1,6.8,5.3,64.58
"02336728","2011-05-19 16:00:00",11,"A",16.5,7.2,9.7,61.7
"02336120","2011-05-15 11:45:00",13,"A",18.9,7.2,7.6,66.02
"02336300","2011-05-01 17:45:00",32,"A e",21,7.3,8.1,69.8
"02203700","2011-05-06 14:00:00",5.8,"A e",14.9,7.1,7.8,58.82
"02336410","2011-05-02 22:15:00",21,"A",22,6.8,8,71.6
"02336526","2011-05-02 09:45:00",4,"A e",19.5,7,7,67.1
"02337170","2011-05-03 18:15:00",7180,"A",NA,6.8,10.3,NA
"02336526","2011-05-11 19:00:00",4,"A",24.7,7.8,10.8,76.46
"02336360","2011-05-02 15:30:00",14,"A",19.6,7.1,8.3,67.28
"02336526","2011-05-10 18:30:00",4.6,"A",23.5,7.6,10.6,74.3
"02336313","2011-05-31 12:30:00",0.77,"A e",22.1,7.4,6,71.78
"02336728","2011-05-03 19:30:00",16,"A",22.8,7.1,8.2,73.04
"02336300","2011-05-22 14:30:00",23,"A",21.4,7.4,7.8,70.52
"02337170","2011-05-13 04:15:00",4220,"A e",15.3,6.8,NA,59.54
"02203700","2011-05-23 02:00:00",3.7,"A e",24.2,6.8,4.2,75.56
"02203700","2011-05-21 11:00:00",4.6,"A",17.9,6.8,5.3,64.22
"02336240","2011-05-30 02:45:00",12,"A",23.6,7,6.8,74.48
"02336313","2011-05-02 02:15:00",0.98,"A",21.4,7,6.1,70.52
"02203700","2011-05-10 23:45:00",4.6,"A",25.1,7.3,6.1,77.18
"02336410","2011-05-30 15:30:00",14,"A",23.7,7,7.1,74.66
"02336300","2011-05-21 04:15:00",24,"A e",20.8,7.4,7.3,69.44
"02336526","2011-05-23 10:30:00",3.6,"A e",21.5,7.5,6.2,70.7
"02336240","2011-05-31 05:15:00",11,"A",23.7,7,6.8,74.66
"02336410","2011-05-27 19:15:00",90,"A",22.1,6.8,7.2,71.78
"02203700","2011-05-05 19:30:00",18,"A",21.1,6.6,7.4,69.98
"02336300","2011-05-01 05:30:00",33,"A e",19.8,7.2,7.1,67.64
"02203700","2011-05-15 05:45:00",4.2,"A e",20,NA,4.4,68
"02336728","2011-05-04 15:15:00",62,"A",16.8,6.8,8.6,62.24
"02336120","2011-05-28 15:00:00",28,"A e",21.6,6.8,7.3,70.88
"02336526","2011-05-01 12:00:00",4.4,"A",17.3,6.9,7.4,63.14
"02336360","2011-05-27 18:00:00",34,"A e",22.4,6.7,7.3,72.32
"02203655","2011-05-06 11:00:00",13,"A",14.8,7.2,8.2,58.64
"02336410","2011-05-10 06:15:00",19,"A e",NA,7,7.3,NA
"02336360","2011-05-31 06:15:00",6.3,"A",24.4,6.9,6.5,75.92
"02203655","2011-05-29 12:15:00",13,"A",20.8,6.7,6.6,69.44
"02336313","2011-05-11 06:30:00",0.98,"A e",21.7,7.2,6.1,71.06
"02336360","2011-05-14 22:00:00",11,"A e",23,7.4,8.6,73.4
"02336240","2011-05-01 09:45:00",13,"A",17.7,7.2,7.7,63.86
"02336526","2011-05-25 19:15:00",3,"A",24.7,8.5,11.6,76.46
"02336120","2011-05-01 09:45:00",17,"A e",18.3,7,7.8,64.94
"02336240","2011-05-04 18:15:00",30,"A",18.1,7,8.6,64.58
"02336410","2011-05-20 05:00:00",15,"A",18,7.2,8.3,64.4
"02337170","2011-05-26 03:30:00",1730,"A",20.6,7,8.7,69.08
"02336410","2011-05-13 04:30:00",17,"A",23.1,7.1,7,73.58
"02336120","2011-05-10 19:00:00",16,"A",22.8,7.3,8.7,73.04
"02336120","2011-05-05 13:30:00",25,"A",14.6,6.9,8.8,58.28
"02336360","2011-05-11 04:15:00",12,"A",22.8,7,6.9,73.04
"02336410","2011-05-17 20:30:00",16,"A",16.3,7.4,10,61.34
"02336313","2011-05-13 06:30:00",0.98,"A e",21.9,7.2,6,71.42
"02336410","2011-05-19 15:45:00",15,"A",15.6,7.3,9.8,60.08
"02336313","2011-05-05 12:00:00",1.4,"A",13.1,7,NA,55.58
"02336313","2011-05-07 16:45:00",1.2,"A e",NA,7.2,9.2,NA
"02203700","2011-05-07 16:00:00",5.6,"A",NA,7.2,8.7,NA
"02203700","2011-05-10 21:45:00",4.9,"A e",26.3,7.3,9.4,79.34
"02336360","2011-05-22 21:30:00",9.8,"A",25.3,7.5,8.8,77.54
"02336240","2011-05-22 21:45:00",8.5,"A",24.8,7.3,8.4,76.64
"02336728","2011-05-24 08:00:00",8.9,"A",21.2,7.1,7.4,70.16
"02203655","2011-05-29 02:45:00",14,"A e",23.6,6.5,6.3,74.48
"02336300","2011-05-11 22:45:00",31,"A",25.9,7.5,7.9,78.62
"02336240","2011-05-21 04:15:00",9.2,"A e",NA,7.2,7.3,NA
"02336300","2011-05-03 21:30:00",30,"A",22.3,7.3,7.7,72.14
"02336360","2011-05-14 15:00:00",11,"A e",21,NA,8.1,69.8
"02337170","2011-05-28 22:30:00",2630,"A",21.8,6.8,7.5,71.24
"02336360","2011-05-02 22:15:00",14,"A",22.2,7.2,8.4,71.96
"02336526","2011-05-06 12:45:00",5.2,"A",13.9,7,8.8,57.02
"02336240","2011-05-07 03:15:00",13,"A",16.7,7.2,8.1,62.06
"02336240","2011-05-29 13:45:00",14,"A e",21.3,7,7.3,70.34
"02336240","2011-05-28 20:00:00",19,"A",24,7,7.4,75.2
"02336526","2011-05-20 08:45:00",3.6,"A",17.9,7.6,7.4,64.22
"02203700","2011-05-14 04:00:00",4.2,"A",21.9,6.9,NA,71.42
"02203700","2011-05-02 07:45:00",5.8,"A",19.4,7,6.2,66.92
"02336120","2011-05-10 14:45:00",15,"A",20.2,7.2,8,68.36
"02336300","2011-05-21 03:45:00",25,"A",NA,7.4,7.4,NA
"02336728","2011-05-24 09:45:00",8.9,"A e",20.8,7.1,7.4,69.44
"02336526","2011-05-06 21:00:00",5.2,"A",19.7,7.5,10.4,67.46
"02336728","2011-05-20 22:15:00",10,"A e",22.8,7.3,8.7,73.04
"02336360","2011-05-31 00:15:00",6.3,"A e",26.2,7,6.9,79.16
"02336360","2011-05-15 22:30:00",11,"A",18.9,7.3,9,66.02
"02336410","2011-05-20 04:30:00",15,"A",18,7.2,8.4,64.4
"02336360","2011-05-28 20:45:00",10,"A",25.3,7,7.1,77.54
"02336300","2011-05-18 04:00:00",28,"A",15.4,7.5,7.9,59.72
"02337170","2011-05-31 00:45:00",1270,"A",25.6,6.8,7.3,78.08
"02336728","2011-05-15 23:30:00",11,"A",18.6,7.2,8.5,65.48
"02337170","2011-05-06 07:45:00",7140,"A e",13.1,6.8,10.4,55.58
"02336360","2011-05-31 01:00:00",6.3,"A",25.9,7,6.8,78.62
"02336240","2011-05-31 21:00:00",10,"A e",26.4,7.1,7.7,79.52
"02336526","2011-05-07 20:45:00",4.8,"A",20.6,7.7,10.8,69.08
"02336313","2011-05-28 09:00:00",1,"A e",20.3,7.3,6.2,68.54
"02336360","2011-05-30 18:15:00",6.6,"A",25.9,7,7.8,78.62
"02336410","2011-05-20 20:15:00",14,"A",21.8,7.5,NA,71.24
"02336526","2011-05-14 03:00:00",3.5,"A e",23,NA,7.4,73.4
"02336300","2011-05-19 04:45:00",27,"A",16.3,7.4,8.3,61.34
"02203700","2011-05-25 02:15:00",3.5,"A",23.9,6.8,4.6,75.02
"02336410","2011-05-17 07:15:00",16,"A",16.4,7.2,8.5,61.52
"02336313","2011-05-11 19:00:00",0.98,"A e",25.4,7.3,8.6,77.72
"02336728","2011-05-22 04:00:00",9.3,"A e",21,7.1,7.6,69.8
"02337170","2011-05-03 14:00:00",5670,"A",15.4,6.8,NA,59.72
"02336120","2011-05-07 00:30:00",19,"A",18.4,7.1,8.5,65.12
"02203700","2011-05-24 11:45:00",3.7,"A",20.3,6.9,4.6,68.54
"02336360","2011-05-02 19:15:00",14,"A",22.1,7.2,9,71.78
"02336360","2011-05-21 22:45:00",9.8,"A",23.4,7.4,8.4,74.12
"02336728","2011-05-31 17:00:00",13,"A e",25.2,7.1,8,77.36
"02336120","2011-05-05 19:45:00",23,"A e",17.6,7,9,63.68
"02336526","2011-05-10 23:30:00",5.7,"A",26,8.3,9,78.8
"02203700","2011-05-22 23:00:00",3.9,"A",25.7,6.9,6.7,78.26
"02336300","2011-05-12 10:15:00",28,"A e",22,7.4,6.6,71.6
"02336526","2011-05-15 14:15:00",3.6,"A e",18.6,7.2,NA,65.48
"02336300","2011-05-16 20:15:00",29,"A e",18.8,7.6,9.2,65.84
"02336300","2011-05-13 20:45:00",27,"A",25,7.6,8.8,77
"02336313","2011-05-02 13:30:00",1,"A",18.8,7,7.3,65.84
"02337170","2011-05-29 13:15:00",1680,"A e",21.2,6.9,7.4,70.16
"02336120","2011-05-14 02:15:00",13,"A",22.6,7.2,7.4,72.68
"02336240","2011-05-06 08:45:00",14,"A",14.8,7.2,8.5,58.64
"02336526","2011-05-30 07:00:00",5.7,"A",24,7.2,6.8,75.2
"02336410","2011-05-25 17:00:00",11,"A",23.4,7.4,8.4,74.12
"02336360","2011-05-10 05:45:00",12,"A e",21.1,7,7.3,69.98
"02336526","2011-05-06 00:00:00",5.5,"A",18.7,7.2,9.2,65.66
"02336300","2011-05-14 07:30:00",27,"A",21.8,7.4,6.7,71.24
"02203700","2011-05-10 00:45:00",4.9,"A e",23.4,7.3,4.1,74.12
"02336240","2011-05-15 05:15:00",9.9,"A e",20,7.2,7.2,68
"02203655","2011-05-25 01:45:00",7.2,"A",23.1,6.9,6.1,73.58
"02336526","2011-05-26 12:30:00",2.8,"A",22.4,7.4,6.1,72.32
"02336120","2011-05-02 17:00:00",17,"A",20,7.2,8.4,68
"02336410","2011-05-24 05:00:00",14,"A",23,7.2,6.7,73.4
"02336526","2011-05-21 10:00:00",3.5,"A e",19.5,NA,6.8,67.1
"02337170","2011-05-25 22:00:00",1670,"A",21.3,7.2,9,70.34
"02336728","2011-05-22 22:45:00",9.7,"A",25.4,7.2,8,77.72
"02336313","2011-05-07 03:00:00",1.1,"A",17.5,7.2,7.7,63.5
"02337170","2011-05-22 13:45:00",1880,"A",16.6,6.9,9.5,61.88
"02336526","2011-05-15 09:00:00",3.6,"A e",19.9,7.2,6.6,67.82
"02336300","2011-05-17 23:15:00",28,"A",16.3,7.6,9,61.34
"02203655","2011-05-19 17:30:00",9.2,"A e",16.6,7.1,9.3,61.88
"02336313","2011-05-02 03:45:00",1,"A",20.8,7,6,69.44
"02336526","2011-05-25 01:45:00",5,"A",24.8,8.9,9,76.64
"02336313","2011-05-17 04:15:00",1.1,"A e",16.3,7.2,7.3,61.34
"02336360","2011-05-29 19:45:00",7.8,"A",25.6,7,7.6,78.08
"02203655","2011-05-06 22:00:00",12,"A",17.7,7.2,7.8,63.86
"02336410","2011-05-10 12:30:00",19,"A",20.3,7,7.5,68.54
"02336313","2011-05-08 14:15:00",1.1,"A e",17.4,7.2,8.8,63.32
"02336728","2011-05-26 13:45:00",7.8,"A e",21.5,7,7.6,70.7
"02336300","2011-05-02 13:30:00",31,"A e",19.4,7.3,7.4,66.92
"02336120","2011-05-29 14:45:00",17,"A e",22.1,6.9,7.3,71.78
"02336728","2011-05-02 04:45:00",16,"A e",19.1,7,7.9,66.38
"02203655","2011-05-20 20:45:00",8.8,"A",19.8,7,8.1,67.64
"02336120","2011-05-05 09:00:00",27,"A",15.5,6.8,8.5,59.9
"02336728","2011-05-29 16:45:00",20,"A",23.2,7,7.8,73.76
"02336120","2011-05-17 00:00:00",13,"A",17.7,7.3,8.7,63.86
"02336240","2011-05-04 04:30:00",428,"A",17.7,6.9,8.7,63.86
"02336240","2011-05-09 01:30:00",12,"A",19.6,7.2,7.7,67.28
"02336526","2011-05-08 01:45:00",4.8,"A",20.3,7.4,8.2,68.54
"02336410","2011-05-09 06:15:00",21,"A",19.6,7,7.5,67.28
"02336300","2011-05-18 03:00:00",28,"A e",15.6,7.6,8.3,60.08
"02337170","2011-05-11 01:45:00",4000,"A",20,6.8,8.5,68
"02203655","2011-05-03 05:30:00",11,"A",21,7.1,6.2,69.8
"02337170","2011-05-18 20:15:00",4320,"A",13.6,6.9,10,56.48
"02336313","2011-05-18 07:45:00",0.98,"A",14.2,7.2,7.2,57.56
"02203700","2011-05-04 18:45:00",24,"A",20.8,7,7.4,69.44
"02203700","2011-05-03 21:00:00",6.7,"A",22.3,7.2,9.8,72.14
"02336300","2011-05-20 22:45:00",24,"A",23.3,7.5,8.9,73.94
"02336240","2011-05-10 13:30:00",11,"A",19.7,7.2,7.8,67.46
"02336526","2011-05-26 06:15:00",3.5,"A",23.5,7.6,6.3,74.3
"02336728","2011-05-13 10:00:00",12,"A",20.9,7.1,7.3,69.62
"02336120","2011-05-09 07:00:00",16,"A e",18.9,7.1,7.8,66.02
"02336526","2011-05-18 22:15:00",3.6,"A e",17.4,8.9,12.8,63.32
"02336410","2011-05-15 21:15:00",16,"A",19,7.4,9,66.2
"02336120","2011-05-25 00:00:00",9.9,"A",25.1,7.2,7.5,77.18
"02336526","2011-05-28 03:00:00",16,"A",22.2,6.9,7.3,71.96
"02336240","2011-05-23 18:30:00",8.5,"A",24.8,7.4,9.8,76.64
"02336728","2011-05-20 09:45:00",10,"A",16.2,7.1,8.6,61.16
"02203655","2011-05-26 02:00:00",6.8,"A",23.4,6.9,5.5,74.12
"02336313","2011-05-29 15:45:00",0.82,"A",22.7,7.4,6.6,72.86
"02336120","2011-05-29 17:45:00",17,"A",23.7,6.8,7.5,74.66
"02336300","2011-05-15 16:45:00",25,"A",19.4,7.6,8.5,66.92
"02336526","2011-05-12 07:30:00",3.6,"A",22.8,7.2,6.1,73.04
"02336240","2011-05-22 19:45:00",8.9,"A",25.4,7.4,9.6,77.72
"02336728","2011-05-30 12:15:00",16,"A",22.7,7,7.3,72.86
"02336313","2011-05-29 07:30:00",0.77,"A",21.6,7.5,5.9,70.88
"02336300","2011-05-21 18:15:00",24,"A",23,7.5,9.1,73.4
"02203700","2011-05-23 20:30:00",3.9,"A",25.7,7.1,8.9,78.26
"02336410","2011-05-01 19:00:00",22,"A",21.3,6.9,8.6,70.34
"02336120","2011-05-23 08:15:00",11,"A",21.9,7.1,6.9,71.42
"02336240","2011-05-13 03:00:00",10,"A e",22.9,7.1,6.8,73.22
"02336526","2011-05-25 13:15:00",3.6,"A",21.3,7.4,6.6,70.34
"02203700","2011-05-03 02:00:00",5.8,"A",21.7,7.2,6.9,71.06
"02336410","2011-05-28 04:15:00",44,"A",22.6,6.9,6.8,72.68
"02336360","2011-05-29 04:45:00",8.7,"A",23.3,6.9,NA,73.94
"02203655","2011-05-29 10:30:00",13,"A",21.1,6.7,6.6,69.98
"02336526","2011-05-01 15:15:00",4.4,"A",17.9,7,8.5,64.22
"02336313","2011-05-23 04:15:00",0.87,"A e",22.9,7.1,5.7,73.22
"02336360","2011-05-22 21:15:00",9.8,"A",25.4,NA,8.9,77.72
"02336120","2011-05-08 05:45:00",17,"A e",17.8,7.2,8.2,64.04
"02203700","2011-05-18 18:15:00",4.2,"A",17.7,7,9.2,63.86
"02336300","2011-05-16 16:30:00",27,"A",17,7.6,8.7,62.6
"02336313","2011-05-13 20:45:00",1,"A",24.4,7.3,8.6,75.92
"02336360","2011-05-07 10:15:00",14,"A e",15.7,7.1,8.3,60.26
"02336360","2011-05-24 18:45:00",9.1,"A",24.8,7.4,9.1,76.64
"02336410","2011-05-20 08:45:00",15,"A e",17.5,7.2,8.3,63.5
"02337170","2011-05-10 13:15:00",2330,"A e",20.3,6.9,7.9,68.54
"02336410","2011-05-09 03:30:00",21,"A",19.9,7.1,7.7,67.82
"02336360","2011-05-07 17:45:00",14,"A",18.2,7.3,9,64.76
"02203655","2011-05-05 23:15:00",13,"A",17.7,7.2,8,63.86
"02336526","2011-05-20 01:15:00",3.6,"A e",20,8.9,10.9,68
"02336526","2011-05-22 03:30:00",3.5,"A",23.1,8.6,7.8,73.58
"02336313","2011-05-30 10:00:00",0.73,"A",22.5,7.5,5.8,72.5
"02336526","2011-05-13 13:00:00",3.6,"A",20.7,7.2,7,69.26
"02336360","2011-05-16 05:15:00",11,"A e",17.7,7.1,8,63.86
"02203700","2011-05-23 23:30:00",3.7,"A e",25.1,6.9,6.8,77.18
"02336300","2011-05-15 09:00:00",26,"A",19.7,7.4,6.9,67.46
"02336240","2011-05-15 21:00:00",10,"A",18.8,NA,8.8,65.84
"02336360","2011-05-29 01:30:00",9.4,"A",24.2,6.9,6.4,75.56
"02336360","2011-05-28 05:45:00",15,"A e",22.4,6.8,6.7,72.32
"02336120","2011-05-04 20:45:00",45,"A e",18.9,6.8,8.4,66.02
"02336526","2011-05-12 02:30:00",3.6,"A",24.9,7.9,7,76.82
"02336300","2011-05-08 23:45:00",33,"A",20.8,7.3,8.1,69.44
"02336313","2011-05-18 00:30:00",1,"A",16.5,7.2,7.9,61.7
"02336240","2011-05-03 20:00:00",13,"A",22,7.2,8.1,71.6
"02336410","2011-05-10 11:45:00",19,"A",20.4,7,7.5,68.72
"02336300","2011-05-19 10:15:00",26,"A",15.3,7.4,8.2,59.54
"02336728","2011-05-26 07:45:00",7.8,"A",21.9,7,7.1,71.42
"02336313","2011-05-23 09:15:00",0.93,"A",20.8,7.1,5.7,69.44
"02336313","2011-05-21 07:45:00",0.98,"A",19,7.2,6.7,66.2
"02336120","2011-05-11 13:00:00",15,"A",21.1,7.2,7.5,69.98
"02203655","2011-05-17 17:45:00",9.2,"A",16,7.1,8.9,60.8
"02336240","2011-05-20 16:30:00",9.5,"A",19.2,7.3,9.6,66.56
"02336728","2011-05-26 05:30:00",8.2,"A e",22.5,7,7,72.5
"02336313","2011-05-16 05:45:00",1,"A e",17.2,7.2,7.6,62.96
"02336300","2011-05-02 04:30:00",32,"A",20.7,7.2,7,69.26
"02336120","2011-05-17 19:15:00",14,"A e",16.4,NA,9.4,61.52
"02203655","2011-05-27 02:00:00",206,"A e",NA,6.7,7.2,NA
"02336728","2011-05-22 18:45:00",9.3,"A",24.6,7.3,9,76.28
"02203700","2011-05-17 00:00:00",7,"A e",18.2,7,6.4,64.76
"02336360","2011-05-11 06:15:00",12,"A",22.4,7,6.9,72.32
"02336410","2011-05-28 00:15:00",56,"A",23,6.9,6.9,73.4
"02337170","2011-05-10 04:15:00",1340,"A",21.4,6.9,7.8,70.52
"02337170","2011-05-14 08:15:00",4020,"A",14.9,6.9,9.8,58.82
"02336120","2011-05-22 08:15:00",11,"A",20.8,7.1,7.1,69.44
"02336120","2011-05-02 15:45:00",16,"A",19.7,NA,8.2,67.46
"02203655","2011-05-25 20:45:00",7.5,"A",23.4,6.9,6.4,74.12
"02336526","2011-05-15 09:15:00",3.6,"A",19.8,7.2,6.6,67.64
"02336728","2011-05-16 11:00:00",11,"A",16.7,7.1,8.3,62.06
"02336120","2011-05-08 00:00:00",17,"A",19.4,7.2,8.5,66.92
"02336240","2011-05-06 20:00:00",14,"A e",19.1,7.2,8.9,66.38
"02203655","2011-05-25 23:45:00",7.2,"A",23.4,7,6,74.12
"02336120","2011-05-04 23:45:00",38,"A",18.2,6.7,8.2,64.76
"02336240","2011-05-04 20:15:00",27,"A",18.5,7,8.5,65.3
"02337170","2011-05-03 14:15:00",5800,"A",15.4,NA,NA,59.72
"02337170","2011-05-24 01:00:00",2150,"A",21.6,6.9,8.3,70.88
"02203655","2011-05-18 11:45:00",9.2,"A",14.2,7,8.6,57.56
"02336410","2011-05-01 15:45:00",22,"A",18.7,6.8,8.4,65.66
"02336526","2011-05-19 13:45:00",3.8,"A e",14.4,7.5,8.9,57.92
"02203655","2011-05-31 14:00:00",9.6,"A",22.5,7.4,6.6,72.5
"02336360","2011-05-30 17:15:00",6.6,"A e",25,7,7.6,77
"02336313","2011-05-17 22:30:00",1,"A e",16.8,7.2,8.6,62.24
"02336240","2011-05-30 02:30:00",12,"A",23.7,7,6.9,74.66
"02337170","2011-05-15 04:45:00",4140,"A",14.4,6.8,9.9,57.92
"02336526","2011-05-26 00:15:00",3,"A",25.5,9,10.9,77.9
"02336120","2011-05-11 03:00:00",15,"A",23,7.2,7.3,73.4
"02203700","2011-05-21 00:15:00",5.3,"A",22.7,6.9,6.2,72.86
"02336360","2011-05-08 19:30:00",13,"A",19.8,7.3,9,67.64
"02337170","2011-05-31 17:00:00",1270,"A",24.2,6.9,7.1,75.56
"02336120","2011-05-28 14:30:00",29,"A",21.5,6.8,7.3,70.7
"02336410","2011-05-20 02:45:00",15,"A e",18.3,7.3,8.5,64.94
"02337170","2011-05-02 13:15:00",2760,"A e",15.6,6.9,9.7,60.08
"02336313","2011-05-16 20:00:00",2.3,"A e",17.8,7.4,9.3,64.04
"02336240","2011-05-17 17:15:00",11,"A e",16.4,7.4,10,61.52
"02336313","2011-05-06 06:30:00",1.2,"A",15.2,7,8.1,59.36
"02336526","2011-05-01 11:45:00",4.4,"A",17.4,6.9,7.3,63.32
"02203700","2011-05-25 05:15:00",3.7,"A",22.6,6.8,4.3,72.68
"02336120","2011-05-02 05:45:00",16,"A",19.9,7.1,7.6,67.82
"02336360","2011-05-06 17:45:00",14,"A",17.4,7.2,9,63.32
"02336526","2011-05-27 14:15:00",58,"A",20,6.8,7.9,68
"02203700","2011-05-07 00:30:00",5.3,"A",19.6,7,6.2,67.28
"02337170","2011-05-07 09:15:00",5990,"A",14.1,6.9,10,57.38
"02203700","2011-05-10 05:00:00",5.1,"A",21.3,7.3,3.6,70.34
"02336240","2011-05-06 00:30:00",14,"A",16.8,7.2,8.4,62.24
"02336120","2011-05-11 09:30:00",15,"A",21.4,7.1,7.2,70.52
"02203655","2011-05-30 00:45:00",11,"A",24.1,6.6,6.3,75.38
"02336300","2011-05-23 22:45:00",21,"A",25.8,7.5,8.3,78.44
"02203655","2011-05-21 02:30:00",8.2,"A",20.6,7,7,69.08
"02336360","2011-05-12 12:15:00",11,"A",21.2,7,7.2,70.16
"02336360","2011-05-06 14:30:00",14,"A",15,7.1,8.6,59
