"site_no","station_nm","dec_lat_va","dec_long_va","coord_datum_cd","alt_va","alt_datum_cd","huc_cd"
"360349115100001","212  S22 E61 04BCB 1 (M Fitz)",36.06608374,-115.171942,"NAD27",2219,"NGVD29","15010015"
"362417116163600","230  S18 E51 07BDB 1    Point of Rocks South(AM-7)",36.40551194,-116.2778169,"NAD27",2333.5,"NGVD29","18090202"
"362432116165701","230  S18 E51 07BBBB1    Point of Rocks North(AM-6)",36.4094007,-116.2833727,"NAD27",2318.8,"NGVD29","18090202"
"362529116171100","230  S17 E50 36DDC 1    Devils Hole Well (AM-5)",36.42467828,-116.2883732,"NAD27",2404.1,"NGVD29","18090202"
"412910117321001","069  N42 E39 25CAC 1    USBLM",41.4860077,-117.5370736,"NAD27",4523,"NGVD29","16040109"
